name,description,longDescription,category,logoColor,websiteURL,githubURL,docsURL
Ray,Distributed computing framework for scaling AI and Python applications with parallel processing libraries,"A unified compute framework that makes it simple to scale AI and Python workloads from a laptop to a cluster. Ray provides libraries for distributed training (Ray Train), hyperparameter tuning (Ray Tune), reinforcement learning (Ray RLlib), and model serving (Ray Serve), all built on a common distributed execution engine.",infrastructure,#028CF0,https://www.ray.io,https://github.com/ray-project/ray,https://docs.ray.io/
Prometheus,Monitoring and alerting toolkit for cloud-native applications and infrastructure,"An open-source monitoring and alerting system designed for reliability and scalability in dynamic cloud-native environments. Prometheus collects metrics from configured targets, stores them efficiently, and provides powerful querying capabilities along with alerting based on these metrics.",monitoring,#E6522C,https://prometheus.io,https://github.com/prometheus/prometheus,https://prometheus.io/docs/introduction/overview/
vLLM,High-throughput and memory-efficient inference and serving engine for LLMs with PagedAttention technology,"A high-performance inference and serving engine for large language models (LLMs) that implements PagedAttention, an efficient attention algorithm that manages attention key-value tensors using paging to significantly improve GPU memory usage and increase throughput for LLM inference.",modelserving,#FF6B6B,https://docs.vllm.ai,https://github.com/vllm-project/vllm,https://docs.vllm.ai/en/latest/
Grafana,"Analytics and interactive visualization platform for metrics, logs, and traces with dashboarding","A multi-platform open-source analytics and interactive visualization web application that provides charts, graphs, and alerts when connected to supported data sources. Grafana allows for querying, visualizing, and understanding metrics across systems, applications, and infrastructure.",monitoring,#F05A28,https://grafana.com,https://github.com/grafana/grafana,https://grafana.com/docs/
Streamlit,Framework for turning data scripts into shareable web apps in Python with minimal frontend experience,"A Python library that makes it easy to create and share custom web applications for machine learning and data science projects. Streamlit transforms data scripts into shareable web apps with minimal front-end experience required, allowing data scientists to quickly build interactive data applications.",applications,#FF4B4B,https://streamlit.io,https://github.com/streamlit/streamlit,https://docs.streamlit.io/
Weights & Biases,"Developer tools for machine learning experiment tracking, dataset versioning, and model management","A developer-first MLOps platform that provides experiment tracking, dataset versioning, model management, and evaluation tools. Weights & Biases helps teams build better models faster with tools for tracking experiments, visualizing results, managing datasets, and collaborating with team members.",mlops,#FFBE00,https://wandb.ai,https://github.com/wandb/wandb,https://docs.wandb.ai/
LlamaIndex,Data framework for LLM applications to connect custom data sources to large language models,"A data framework for building LLM applications over custom data sources, providing tools to ingest, structure, and access private or domain-specific data for retrieval-augmented generation (RAG). LlamaIndex handles data ingestion, chunking, embedding, and querying with features for semantic search and context-augmented generation.",llmops,#5D66F5,https://www.llamaindex.ai,https://github.com/jerryjliu/llama_index,https://docs.llamaindex.ai/
Pinecone,Vector database for storing and searching vector embeddings for machine learning applications,"A fully managed, cloud-native vector database optimized for vector search at scale. Pinecone provides high-performance, low-latency similarity search for machine learning applications such as recommendation systems, semantic search, image retrieval, and LLM-based applications with RAG.",featurestore,#4C64EE,https://www.pinecone.io,https://github.com/pinecone-io,https://docs.pinecone.io/
Kubeflow,"Machine learning toolkit for Kubernetes to deploy, monitor, and manage ML systems","A comprehensive platform for deploying, monitoring, and managing machine learning systems on Kubernetes. Kubeflow provides end-to-end orchestration of ML workflows, including notebook environments, training pipelines, hyperparameter tuning, model tracking, and serving, all running on Kubernetes infrastructure.",mlops,#4279F4,https://www.kubeflow.org,https://github.com/kubeflow/kubeflow,https://www.kubeflow.org/docs/
Seldon Core,Production-ready platform for deploying and managing machine learning models on Kubernetes,"An open-source platform for deploying and managing machine learning models in production environments on Kubernetes. Seldon Core provides advanced model serving patterns like A/B testing, canary deployments, and multi-armed bandits, along with monitoring, explainability, and scalability features.",modelserving,#19486F,https://www.seldon.io/,https://github.com/SeldonIO/seldon-core,https://docs.seldon.io/projects/seldon-core/en/latest/
TensorFlow,End-to-end open source platform for machine learning with comprehensive ecosystem,"A comprehensive machine learning platform with a flexible ecosystem of tools, libraries, and community resources. TensorFlow provides end-to-end capabilities from model development to production deployment with integrated components for data processing, model training, evaluation, and serving.",modeldevelopment,#FF6F00,https://www.tensorflow.org/,https://github.com/tensorflow/tensorflow,https://www.tensorflow.org/guide
AutoGen,Framework for building multi-agent systems with LLMs that can work together to solve complex tasks,"A framework for building applications using multiple agents that can converse with each other, solve tasks, and call functions to use tools. AutoGen agents can adapt to using different LLMs, have customizable persona and instructions, and have been used to build complex systems like co-development teams, research assistants, and more.",llmops,#7F56D9,https://microsoft.github.io/autogen/,https://github.com/microsoft/autogen,https://microsoft.github.io/autogen/docs/getting-started
LangGraph,"Framework for building stateful, multi-actor applications using language models","A framework for creating stateful, multi-actor applications with language models, enabling complex, interactive LLM applications. LangGraph uses a graph-based paradigm to represent the flow of information between different components or agents, making it easier to build conversational agents, multi-step reasoning systems, and tools that require persistent state.",llmops,#18CC42,https://www.langchain.com/langgraph,https://github.com/langchain-ai/langgraph,https://python.langchain.com/docs/langgraph
Evidently,"Open-source tools to evaluate, test, and monitor ML models in production","An open-source toolkit for ML model evaluation, testing, and monitoring that helps detect data drift, model drift, and performance issues. Evidently provides visual reports and Python tools for data quality validation, drift detection, and model performance analysis throughout the ML lifecycle.",monitoring,#EF463A,https://www.evidentlyai.com/,https://github.com/evidentlyai/evidently,https://docs.evidentlyai.com/
Snowflake,Cloud data platform with support for machine learning and data sharing,"A cloud-based data platform that provides a data warehouse-as-a-service designed for the cloud. Snowflake enables data storage, processing, and analytic solutions with seamless data sharing, machine learning integration, and multi-cloud support.",datalayer,#29B5E8,https://www.snowflake.com,https://github.com/snowflakedb,https://docs.snowflake.com
Databricks,Unified data analytics platform for processing big data and building machine learning models,"A unified data and AI platform that combines data engineering, data science, machine learning, and analytics on a single platform built around Apache Spark. Databricks provides collaborative notebooks, optimized Spark clusters, ML model management, and an open lakehouse architecture.",datalayer,#FF3621,https://www.databricks.com,https://github.com/databricks,https://docs.databricks.com
Feast,Open source feature store for machine learning with consistent feature access,"An open-source feature store for machine learning that enables teams to consistently define, store, serve, and share features across projects. Feast provides a centralized repository for machine learning features, ensuring that the same feature definitions are used for both model training and serving.",featurestore,#02CBB1,https://feast.dev,https://github.com/feast-dev/feast,https://docs.feast.dev
Tecton,Enterprise-grade feature platform for building and serving ML features at scale,"An enterprise-grade feature platform that manages the complete lifecycle of ML features. Tecton provides a central repository for feature definitions, with tools for transformation, orchestration, serving, and monitoring features in both offline and online environments, ensuring consistency between training and production.",featurestore,#3D4BF2,https://www.tecton.ai,https://github.com/tecton-ai,https://docs.tecton.ai
Databricks Feature Store,Managed feature store integrated with Databricks that unifies feature management,"A centralized repository for machine learning features built into the Databricks platform. The Databricks Feature Store enables teams to discover and reuse existing features, automatically handle point-in-time correctness, and ensure consistent feature transformations between training and serving, all integrated with the rest of the Databricks ecosystem.",featurestore,#FF3621,https://www.databricks.com/product/feature-store,,https://docs.databricks.com/machine-learning/feature-store/index.html
Amazon SageMaker Feature Store,Fully managed repository for machine learning features integrated with SageMaker,"A fully managed, purpose-built repository within Amazon SageMaker that makes it easy to store, update, retrieve, and share machine learning features. SageMaker Feature Store provides an online store for low-latency real-time inference and an offline store for training and batch inference, with consistent feature access across both environments.",featurestore,#FF9900,https://aws.amazon.com/sagemaker/feature-store,,https://docs.aws.amazon.com/sagemaker/latest/dg/feature-store.html
Vertex AI Feature Store,Google Cloud's managed feature repository for machine learning pipelines,"A managed feature repository in Google Cloud's Vertex AI platform that enables efficient management, sharing, and serving of machine learning features. It helps ensure consistent feature values between training and serving, with integrated time-travel capabilities for point-in-time accurate training and both online and batch serving capabilities.",featurestore,#4285F4,https://cloud.google.com/vertex-ai/docs/featurestore,,https://cloud.google.com/vertex-ai/docs/featurestore/overview
Hopsworks Feature Store,Open-source Python-centric feature store with unified storage for features and metadata,"An open-source feature store that simplifies the management and serving of features for machine learning. Hopsworks provides both online and offline storage, Python-based feature engineering, time-travel capabilities, and monitoring for feature data, along with a feature registry for documenting and discovering features across teams.",featurestore,#FF3A4E,https://www.hopsworks.ai,https://github.com/logicalclocks/hopsworks,https://docs.hopsworks.ai
Redis Enterprise for Feature Store,High-performance real-time feature serving built on Redis for ML applications,"A feature storage and serving solution built on Redis that enables real-time feature serving for machine learning applications. Redis Enterprise for Feature Store provides sub-millisecond feature retrieval, support for vector embeddings, and scalable deployment options, making it ideal for low-latency online inference scenarios.",featurestore,#DC382D,https://redis.com/solutions/use-cases/feature-store-for-machine-learning,,https://redis.io/docs/stack/search/reference/vectors
Temporal,Open-source microservice orchestration platform for building durable workflows with reliability guarantees,"A microservice orchestration platform that simplifies building applications with complex, reliability-critical business logic. Temporal provides durable execution, automated retries, and long-running workflow support, making it ideal for ML workflows, data pipelines, and stateful service orchestration in AI systems.",infrastructure,#276EF1,https://temporal.io,https://github.com/temporalio/temporal,https://docs.temporal.io
Apache Airflow,"Platform for programmatically authoring, scheduling, and monitoring data and ML workflows","An open-source workflow management platform that enables teams to programmatically author, schedule, and monitor workflows as directed acyclic graphs (DAGs). Airflow is widely used for data engineering and ML pipelines, providing rich scheduling, dependency management, and monitoring capabilities.",mlops,#017CEE,https://airflow.apache.org,https://github.com/apache/airflow,https://airflow.apache.org/docs
Dagster,Data orchestration platform focused on developer productivity and observability for ML pipelines,"An open-source orchestration platform for the development, production, and observation of data assets. Dagster combines data orchestration capabilities with asset management features, enabling teams to define, test, and deploy data and ML pipelines with improved developer productivity and robust observability.",datalayer,#412A79,https://dagster.io,https://github.com/dagster-io/dagster,https://docs.dagster.io
Flyte,Kubernetes-native workflow automation platform designed for ML and data processing,"A Kubernetes-native workflow automation platform designed for highly concurrent, scalable, and maintainable workflows. Flyte is particularly suited for machine learning and data processing, offering strong typing, containerization, caching, and versioning capabilities to ensure reproducibility and reliability in production.",mlops,#51ABFF,https://flyte.org,https://github.com/flyteorg/flyte,https://docs.flyte.org
Metaflow,Human-friendly Python framework for building and managing data science workflows,"A human-centric framework for data science that helps teams build and manage real-life data science projects. Created at Netflix, Metaflow focuses on making ML workflows easy to develop, deploy, and operate, with features for versioning, dependency management, and seamless deployment to production infrastructure.",mlops,#12887A,https://metaflow.org,https://github.com/Netflix/metaflow,https://docs.metaflow.org
Luigi,Python package for building complex pipelines of batch jobs with dependency resolution,"A Python package that helps build complex pipelines of batch jobs with dependency resolution. Built at Spotify, Luigi handles dependency resolution, workflow management, visualization, and failure recovery for data pipelines, making it useful for ETL processes and machine learning workflows.",datalayer,#41AF46,https://luigi.readthedocs.io,https://github.com/spotify/luigi,https://luigi.readthedocs.io/en/stable/
LiteLLM Proxy,"Production-ready LLM gateway with load balancing, fallbacks, and observability","A production-ready LLM gateway that provides a proxy server for different LLM APIs with a unified interface. LiteLLM Proxy offers load balancing across providers, fallbacks for reliability, caching for performance, and extensive monitoring and logging capabilities to manage LLM costs and performance in production.",modelserving,#6366F1,https://litellm.ai/proxy,https://github.com/BerriAI/litellm,https://docs.litellm.ai/docs/proxy/self_hosting
Llama Gateway,Managed REST API gateway with observability for LlamaIndex and other LLM frameworks,"A managed REST API service that provides gateway functionality for LlamaIndex applications. Llama Gateway offers observability, monitoring, and scaling capabilities for LLM applications built with LlamaIndex, enabling teams to easily deploy and manage RAG and other LLM-based applications in production.",modelserving,#5D66F5,https://cloud.llamaindex.ai,https://github.com/run-llama/llama_index,https://docs.llamaindex.ai/en/stable/module_guides/deploying/llama_cloud/llama_cloud.html
Haystack LLM Gateway,Framework for building production-ready LLM applications with flexible inference options,"A framework that provides a unified interface for building LLM applications with multiple deployment options. Haystack LLM Gateway enables flexible switching between different LLM providers, optimizing for cost, performance, or capabilities, while providing robust error handling and monitoring for production environments.",modelserving,#4DA9F8,https://haystack.deepset.ai,https://github.com/deepset-ai/haystack,https://docs.haystack.deepset.ai/docs/llm-inference
GPT Cache,Semantic caching for LLMs to reduce duplicate requests and improve response times,"A library for semantic caching of LLM calls that helps reduce the number of duplicate requests to LLM services. GPT Cache uses similarity-based caching to identify semantically similar queries and return cached responses, reducing latency and API costs while maintaining response quality.",modelserving,#4F4F4F,https://gptcache.readthedocs.io,https://github.com/zilliztech/gptcache,https://gptcache.readthedocs.io/en/latest/
NVIDIA AI Enterprise,End-to-end platform for developing and deploying AI applications with enterprise support,"An end-to-end, cloud-native suite of AI and data analytics software optimized for NVIDIA accelerated computing. NVIDIA AI Enterprise provides enterprise-grade support, security, and performance for the full AI development and deployment lifecycle, from data processing and model training to inference and monitoring.",infrastructure,#76B900,https://www.nvidia.com/en-us/data-center/products/ai-enterprise,,https://docs.nvidia.com/ai-enterprise
OpenLLM,Open platform for operating LLMs in production with observability and scalability,"An open-source platform for operating large language models in production, built on BentoML. OpenLLM simplifies fine-tuning, serving, and deployment of LLMs with features for model management, observability, and automatic optimization of inference for different hardware configurations.",modelserving,#635BFF,https://openllm.ai,https://github.com/bentoml/OpenLLM,https://openllm.ai/docs
SkyPilot,"Framework for running LLMs, AI, and batch jobs on any cloud with cost optimization","An open-source framework that simplifies running machine learning workloads on the cloud, automatically finding the best cloud with available resources at the lowest price. SkyPilot offers managed cloud spot instances, job queueing, and a unified interface for multi-cloud environments, making it ideal for running resource-intensive LLM training and fine-tuning.",infrastructure,#2374CD,https://skypilot.readthedocs.io,https://github.com/skypilot-org/skypilot,https://skypilot.readthedocs.io/en/latest/
LangSmith,"Platform for debugging, testing, evaluating, and monitoring LLM applications","A platform designed to help developers understand, debug, and improve their LLM applications throughout the development lifecycle. LangSmith provides telemetry, tracing, testing, and evaluation tools for LLM-based applications, enhancing observability and enabling systematic improvement of model quality and reliability.",monitoring,#00C4B8,https://smith.langchain.com,https://github.com/langchain-ai/langsmith-sdk,https://docs.smith.langchain.com
Prompt Flow,"Platform for building, evaluating, and deploying LLM-powered applications","A development tool for building, evaluating, and deploying LLM applications, part of Microsoft's AI platform. Prompt Flow provides visual workflow design for LLM applications, evaluation frameworks for prompts and models, and integration with Azure's AI services, simplifying the development of complex LLM applications.",mlops,#0078D4,https://microsoft.github.io/promptflow,https://github.com/microsoft/promptflow,https://microsoft.github.io/promptflow/how-to-guides/index.html
Prodigy,Annotation tool for creating training data for machine learning models,"An efficient annotation tool designed for creating training data for machine learning models. Prodigy provides an intuitive annotation interface, active learning for more efficient data labeling, and customizable workflows for text, image, audio, and video data, helping teams build high-quality datasets faster.",datalayer,#09A3D5,https://prodi.gy,,https://prodi.gy/docs
V7,End-to-end training data platform for computer vision and multimodal models,"An end-to-end training data platform for computer vision and multimodal models. V7 offers tools for data labeling, dataset management, model training, and automated workflows, with features for auto-annotation, quality control, and collaboration designed for building high-quality training datasets.",datalayer,#5145CD,https://www.v7labs.com,,https://docs.v7labs.com
CVAT,Open-source interactive image and video annotation tool for computer vision,"An open-source tool for labeling images and videos for computer vision datasets. CVAT provides powerful annotation capabilities for segmentation, classification, and tracking tasks, with support for multiple annotation formats and integration with various ML frameworks for semi-automated labeling.",datalayer,#1E88E5,https://www.cvat.ai,https://github.com/opencv/cvat,https://opencv.github.io/cvat/docs
Label Studio,"Open-source data labeling tool for various data types including text, images, audio, and video","An open-source data labeling tool that handles various data types including text, images, audio, and video. Label Studio offers a flexible interface for creating labeled datasets, with customizable labeling templates, collaboration features, and integrations with ML frameworks for active learning and model-assisted labeling.",datalayer,#4A5768,https://labelstud.io,https://github.com/heartexlabs/label-studio,https://labelstud.io/guide
Aquarium Learning,Dataset curation platform for improving computer vision models through systematic error analysis,"A dataset curation platform for improving computer vision models through systematic error analysis and targeted data collection. Aquarium helps identify model failure modes, curate more effective training datasets, and close the loop between model performance and data quality to iteratively improve model accuracy.",monitoring,#0DCCBB,https://www.aquariumlearning.com,,https://docs.aquariumlearning.com
Encord,"Data-centric computer vision platform for labeling, QA, and dataset curation","A data-centric computer vision platform for creating high-quality training data. Encord provides tools for data labeling, quality assurance, and dataset curation, with features for automated workflows, model-assisted labeling, and performance analysis to enhance model accuracy through better data.",datalayer,#FF4E64,https://encord.com,https://github.com/encord-team,https://docs.encord.com
Roboflow,"Computer vision platform for dataset management, annotation, and model training","An end-to-end computer vision platform that helps developers create and deploy custom vision AI models. Roboflow provides tools for dataset management, image annotation, model training, and deployment, with pre-built solutions for object detection, classification, and segmentation tasks.",modeldevelopment,#4D35BA,https://roboflow.com,https://github.com/roboflow,https://docs.roboflow.com
Argilla,Open-source data curation platform for LLMs and other ML tasks,"An open-source data curation platform designed to efficiently collect and manage feedback for LLMs and other ML tasks. Argilla enables teams to collaboratively annotate, evaluate, and curate data for training and fine-tuning models, with built-in support for popular LLM use cases and human-in-the-loop workflows.",datalayer,#FF3A4E,https://argilla.io,https://github.com/argilla-io/argilla,https://docs.argilla.io
DVC Data,Component of DVC designed for versioning datasets and ML models,"A component of Data Version Control (DVC) that specializes in versioning datasets and ML models. DVC Data provides a Git-like interface for tracking large files, enabling reproducible ML projects by versioning data alongside code, with support for remote storage and dataset lineage tracking.",datalayer,#13ADC7,https://dvc.org/doc/start/data-management,https://github.com/iterative/dvc,https://dvc.org/doc/user-guide/data-management
Doccano,Open-source text annotation tool for machine learning practitioners,"An open-source text annotation tool for creating labeled datasets for NLP tasks. Doccano supports various types of text annotation including classification, sequence labeling, and sequence-to-sequence tasks, with a collaborative interface for teams to efficiently create high-quality training data.",datalayer,#03A9F4,https://doccano.github.io/doccano,https://github.com/doccano/doccano,https://doccano.github.io/doccano/getting-started
Dataturks,"Data annotation platform for text, images, and videos with collaboration features","A data annotation platform for text, images, and videos that enables teams to create labeled datasets for machine learning. Dataturks provides an intuitive interface for various annotation tasks, with features for team collaboration, quality control, and project management to streamline the data labeling process.",datalayer,#FF7043,https://dataturks.com,https://github.com/DataTurks/DataTurks,https://dataturks.com/help
Appen,AI training data platform with human-in-the-loop annotation for various data types,"A comprehensive training data platform that combines human-in-the-loop annotation with machine learning assistance to create high-quality datasets. Appen provides solutions for data collection, annotation, and validation across text, image, audio, and video data types, with a global crowd workforce for scaling data labeling projects.",datalayer,#FE4F25,https://appen.com,,https://success.appen.com
Toloka,Crowdsourcing platform for data labeling and human evaluation of AI systems,"A crowdsourcing platform that helps collect and label data at scale through distributed work. Toloka enables organizations to create training datasets and evaluate AI systems with human input, providing tools for task design, quality control, and workforce management for efficient and accurate data labeling.",datalayer,#FFCC00,https://toloka.ai,,https://toloka.ai/docs
Datasaur,Text annotation platform with pre-labeling capabilities for efficient dataset creation,"A text annotation platform designed specifically for natural language processing datasets. Datasaur offers pre-labeling capabilities using existing models, project management features, and quality control workflows to streamline the creation of labeled text datasets for training, fine-tuning, and evaluating NLP models.",datalayer,#00DE7A,https://datasaur.ai,,https://docs.datasaur.ai
SuperAnnotate,"End-to-end platform for image, video, and text annotation with automated workflows","An end-to-end platform for annotating images, videos, and text with automated annotation capabilities. SuperAnnotate provides tools for project management, quality assurance, and automated workflows for creating high-quality training data, with features for team collaboration and integration with model training pipelines.",datalayer,#2EA4F7,https://www.superannotate.com,,https://docs.superannotate.com
Kili Technology,Collaborative platform for annotating and training data with focus on complex images and documents,"A collaborative platform for annotating and training data with a focus on complex images and documents. Kili Technology combines annotation capabilities with automated labeling features, quality control workflows, and advanced project management to efficiently create high-quality labeled datasets for AI training.",datalayer,#0D4DF1,https://kili-technology.com,,https://cloud.kili-technology.com/documentation
DataHeroes,"Platform for data preparation, enrichment, labeling, and governance for AI development","A platform for data preparation, enrichment, labeling, and governance for AI development. DataHeroes provides end-to-end capabilities for managing training data, with tools for data cleaning, transformation, annotation, and quality assurance to ensure high-quality datasets for developing and improving AI models.",security,#3C3CE5,https://dataheroes.ai,,https://docs.dataheroes.ai
Diffgram,Open-source training data platform for computer vision with built-in version control,"An open-source training data platform for computer vision with built-in version control. Diffgram provides tools for annotation, dataset management, and ML-assisted labeling, with unique features for tracking changes to annotations over time and integrating with model training workflows.",datalayer,#4A6FF3,https://diffgram.com,https://github.com/diffgram/diffgram,https://diffgram.readme.io
DSPy,Framework for programming with language models through modules and optimizers,"A framework for algorithmically programming language models by separating prompting logic from model calls. DSPy offers programmatic optimization of language model programs, enabling systematic improvement of LLM applications through techniques like fine-tuning prompts based on past results and tracing complex reasoning steps.",llmops,#3872D9,https://dspy.ai,https://github.com/stanfordnlp/dspy,https://dspy-docs.vercel.app
vLLM Server,High-throughput service for LLM inference with API compatibility and optimized performance,"A high-performance service built on vLLM for serving large language models with OpenAI-compatible API endpoints. vLLM Server delivers optimized inference through techniques like PagedAttention and tensor parallelism, supporting various deployment options with both popular open-source and proprietary models.",modelserving,#FF6B6B,https://docs.vllm.ai,https://github.com/vllm-project/vllm,https://docs.vllm.ai/en/latest/serving/openai_compatible_server.html
DVC (Data Version Control),Open-source version control system for machine learning projects,"An open-source version control system for machine learning projects that works with Git to version data and models, making ML projects reproducible and shareable. DVC tracks changes to data, models, and intermediate files while keeping a lightweight Git repository.",mlops,#13ADC7,https://dvc.org,https://github.com/iterative/dvc,https://dvc.org/doc
FastAPI,High-performance web framework for building APIs with Python based on standard type hints,"A modern, fast web framework for building APIs with Python based on standard Python type hints, providing automatic API documentation, data validation, and high performance. FastAPI is particularly well-suited for building machine learning APIs and microservices.",applications,#009688,https://fastapi.tiangolo.com,https://github.com/tiangolo/fastapi,https://fastapi.tiangolo.com/tutorial/
BentoML,Unified model serving framework for scalable machine learning model serving,"An open-source framework for high-performance machine learning model serving, enabling teams to standardize model deployment, create prediction services, and seamlessly transition models from research to production with optimized performance and monitoring.",modelserving,#635BFF,https://www.bentoml.com,https://github.com/bentoml/BentoML,https://docs.bentoml.org
Langsmith,"Platform for debugging, testing, evaluating, and monitoring LLM applications","A platform designed specifically for LLM application development that offers comprehensive tooling for debugging, testing, evaluating, and monitoring language model applications. LangSmith helps teams understand, evaluate, and improve their language model applications throughout the development lifecycle.",monitoring,#00C4B8,https://www.langsmith.com,https://github.com/langchain-ai/langsmith-sdk,https://docs.smith.langchain.com
OpenAI API,APIs for accessing powerful large language models and AI capabilities,"A set of APIs providing access to state-of-the-art large language models and AI capabilities, enabling developers to integrate advanced language understanding, generation, and reasoning abilities into applications. OpenAI APIs power a wide range of AI applications from conversational agents to content generation.",modelserving,#412991,https://openai.com/api,https://github.com/openai/openai-python,https://platform.openai.com/docs/introduction
Helm,Package manager for Kubernetes that simplifies deploying and managing applications,"A package manager for Kubernetes that simplifies the deployment and management of applications in Kubernetes clusters. Helm provides templates called charts that define, install, and upgrade complex Kubernetes applications, making it easier to standardize deployments.",infrastructure,#0F1689,https://helm.sh,https://github.com/helm/helm,https://helm.sh/docs/
Argo Workflows,Container-native workflow engine for orchestrating parallel jobs on Kubernetes,"An open-source container-native workflow engine for orchestrating parallel jobs on Kubernetes. Argo Workflows is designed to orchestrate complex, multi-step workflows for machine learning, data processing, and CI/CD, providing visualization, templating, and scheduling capabilities.",mlops,#1A56DB,https://argoproj.github.io/workflows,https://github.com/argoproj/argo-workflows,https://argoproj.github.io/argo-workflows/docs/
NVIDIA Triton Inference Server,Open-source inference serving software for deploying AI models at scale,"An open-source inference serving software that standardizes model deployment and execution across diverse hardware platforms. Triton Inference Server supports models from different frameworks (TensorFlow, PyTorch, ONNX, TensorRT) and optimizes performance for both real-time and batch inference scenarios.",modelserving,#76B900,https://developer.nvidia.com/triton-inference-server,https://github.com/triton-inference-server/server,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/index.html
Gradio,Python library for quickly creating customizable UI components for machine learning models,"A Python library that allows developers to quickly create customizable web interfaces for machine learning models. Gradio makes it easy to demo models, get user feedback, and share interactive applications with just a few lines of code, supporting text, image, audio, and video inputs/outputs.",applications,#F97516,https://www.gradio.app,https://github.com/gradio-app/gradio,https://www.gradio.app/docs
Airflow,"Platform to programmatically author, schedule, and monitor workflows and data pipelines","A workflow orchestration platform that enables programmatic authoring, scheduling, and monitoring of complex data pipelines. Airflow uses Python to define workflows as directed acyclic graphs (DAGs), providing scheduling, retry logic, monitoring, and integrations with many data systems and cloud providers.",datalayer,#017CEE,https://airflow.apache.org,https://github.com/apache/airflow,https://airflow.apache.org/docs/
Chroma,Open-source embedding database for AI applications with simple API,"An open-source embedding database designed for AI applications that makes it easy to store, manage, and query vector embeddings. Chroma provides a simple API for building AI applications with semantic search capabilities, particularly for retrieval-augmented generation systems.",featurestore,#6166DC,https://www.trychroma.com,https://github.com/chroma-core/chroma,https://docs.trychroma.com
